iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
DMA,2030,6432454.0,532057600.0,0.0,DMA,532057600.0,True
DOM,2026,6432454.0,532057600.0,0.0,DOM,532057600.0,True
DOM,2027,6432454.0,532057600.0,0.0,DOM,532057600.0,True
DOM,2028,6432454.0,532057600.0,0.0,DOM,532057600.0,True
DOM,2029,6432454.0,532057600.0,0.0,DOM,532057600.0,True
DOM,2030,6432454.0,532057600.0,0.0,DOM,532057600.0,True
ECU,2026,6432454.0,532057600.0,0.0,ECU,532057600.0,True
ECU,2027,6432454.0,532057600.0,0.0,ECU,532057600.0,True
ECU,2028,6432454.0,532057600.0,0.0,ECU,532057600.0,True
ECU,2029,6432454.0,532057600.0,0.0,ECU,532057600.0,True
ECU,2030,6432454.0,532057600.0,0.0,ECU,532057600.0,True
GUY,2026,6432454.0,532057600.0,0.0,ECU | BRA | COL | MEX | CHL | DOM | TTO | PAN | BOL | ARG | CRI | CUW | PRY | URY | ABW | PER | GUY,532057600.0,True
GUY,2027,6432454.0,532057600.0,0.0,ECU | BRA | COL | MEX | CHL | DOM | TTO | PAN | BOL | ARG | CRI | CUW | PRY | URY | ABW | PER | GUY,532057600.0,True
GUY,2028,6432454.0,532057600.0,0.0,ECU | BRA | COL | MEX | CHL | DOM | TTO | PAN | BOL | ARG | CRI | CUW | PRY | URY | ABW | PER | GUY,532057600.0,True
GUY,2029,6432454.0,532057600.0,0.0,ECU | BRA | COL | MEX | CHL | DOM | TTO | PAN | BOL | ARG | CRI | CUW | PRY | URY | ABW | PER | GUY,532057600.0,True
GUY,2030,6432454.0,532057600.0,0.0,ECU | BRA | COL | MEX | CHL | DOM | TTO | PAN | BOL | ARG | CRI | CUW | PRY | URY | ABW | PER | GUY,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,EGY | ETH,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,EGY | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,EGY | ETH,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,EGY | ETH,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,EGY | ETH,532057600.0,True
JOR,2026,6432454.0,532057600.0,0.0,EGY | IRQ | LBN | TUR | JOR,532057600.0,True
JOR,2027,6432454.0,532057600.0,0.0,EGY | IRQ | LBN | TUR | JOR,532057600.0,True
JOR,2028,6432454.0,532057600.0,0.0,EGY | IRQ | LBN | TUR | JOR,532057600.0,True
JOR,2029,6432454.0,532057600.0,0.0,EGY | IRQ | LBN | TUR | JOR,532057600.0,True
JOR,2030,6432454.0,532057600.0,0.0,EGY | IRQ | LBN | TUR | JOR,532057600.0,True
JOR,2026,6432454.0,532057600.0,0.0,EGY | TUR | LBN | JOR,532057600.0,True
JOR,2027,6432454.0,532057600.0,0.0,EGY | TUR | LBN | JOR,532057600.0,True
JOR,2028,6432454.0,532057600.0,0.0,EGY | TUR | LBN | JOR,532057600.0,True
JOR,2029,6432454.0,532057600.0,0.0,EGY | TUR | LBN | JOR,532057600.0,True
JOR,2030,6432454.0,532057600.0,0.0,EGY | TUR | LBN | JOR,532057600.0,True
ERI,2026,6432454.0,532057600.0,318159893.44354165,ERI,213897706.55645835,True
ERI,2027,6432454.0,532057600.0,326181549.0309572,ERI,205876050.96904278,True
ERI,2028,6432454.0,532057600.0,334203204.618373,ERI,197854395.38162702,True
ERI,2029,6432454.0,532057600.0,342246837.34438425,ERI,189810762.65561575,True
ERI,2030,6432454.0,532057600.0,350268492.93179995,ERI,181789107.06820005,True
DJI,2026,6432454.0,532057600.0,0.0,ERI | KEN | DJI,532057600.0,True
DJI,2027,6432454.0,532057600.0,0.0,ERI | KEN | DJI,532057600.0,True
DJI,2028,6432454.0,532057600.0,0.0,ERI | KEN | DJI,532057600.0,True
DJI,2029,6432454.0,532057600.0,0.0,ERI | KEN | DJI,532057600.0,True
DJI,2030,6432454.0,532057600.0,0.0,ERI | KEN | DJI,532057600.0,True
BGR,2026,6432454.0,532057600.0,0.0,EST | SVK | MDA | CZE | HUN | ROU | POL | LVA | LTU | BGR,532057600.0,True
BGR,2027,6432454.0,532057600.0,0.0,EST | SVK | MDA | CZE | HUN | ROU | POL | LVA | LTU | BGR,532057600.0,True
BGR,2028,6432454.0,532057600.0,0.0,EST | SVK | MDA | CZE | HUN | ROU | POL | LVA | LTU | BGR,532057600.0,True
BGR,2029,6432454.0,532057600.0,0.0,EST | SVK | MDA | CZE | HUN | ROU | POL | LVA | LTU | BGR,532057600.0,True
BGR,2030,6432454.0,532057600.0,0.0,EST | SVK | MDA | CZE | HUN | ROU | POL | LVA | LTU | BGR,532057600.0,True
ETH,2026,6432454.0,532057600.0,2865425585.1599236,ETH,-2333367985.1599236,False
ETH,2027,6432454.0,532057600.0,2992478597.029155,ETH,-2460420997.029155,False
ETH,2028,6432454.0,532057600.0,3119531608.8983865,ETH,-2587474008.8983865,False
ETH,2029,6432454.0,532057600.0,3246932711.211095,ETH,-2714875111.211095,False
ETH,2030,6432454.0,532057600.0,3373985723.0803266,ETH,-2841928123.0803266,False
ETH,2026,6432454.0,532057600.0,0.0,ETH | ,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,ETH | ,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,ETH | ,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,ETH | ,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,ETH | ,532057600.0,True
CAF,2026,6432454.0,532057600.0,0.0,ETH | EGY | LBY | UGA | CAF,532057600.0,True
CAF,2027,6432454.0,532057600.0,0.0,ETH | EGY | LBY | UGA | CAF,532057600.0,True
CAF,2028,6432454.0,532057600.0,0.0,ETH | EGY | LBY | UGA | CAF,532057600.0,True
CAF,2029,6432454.0,532057600.0,0.0,ETH | EGY | LBY | UGA | CAF,532057600.0,True
CAF,2030,6432454.0,532057600.0,0.0,ETH | EGY | LBY | UGA | CAF,532057600.0,True
UGA,2026,6432454.0,532057600.0,0.0,ETH | KEN | UGA,532057600.0,True
UGA,2027,6432454.0,532057600.0,0.0,ETH | KEN | UGA,532057600.0,True
