iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
BDI,2029,6432454.0,532057600.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,532057600.0,True
BDI,2028,6432454.0,532057600.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,532057600.0,True
BDI,2027,6432454.0,532057600.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,532057600.0,True
BDI,2026,6432454.0,532057600.0,0.0,ZWE | YEM | BFA | BGD | VEN | ZMB | TUR | JOR | AGO | SDN | SLE | EGY | COL | TZA | SYR | RWA | TGO | SSD | SOM | PAK | PSE | MMR | LBR | LSO | IRN | COD | TCD | CMR | BEN | AFG |  | LBY | UKR | UGA | HTI | PHL | NGA | NER | MOZ | MLI | LBN | KEN | IRQ | ETH | ECU | PRK | DJI | CAF | BDI,532057600.0,True
COG,2030,6432454.0,532057600.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,532057600.0,True
COG,2029,6432454.0,532057600.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,532057600.0,True
COG,2028,6432454.0,532057600.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,532057600.0,True
COG,2027,6432454.0,532057600.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,532057600.0,True
COG,2026,6432454.0,532057600.0,0.0,ZMB | TZA | RWA | UGA | AGO | COG,532057600.0,True
UGA,2030,6432454.0,532057600.0,0.0,ZMB | COG | RWA | TZA | AGO | UGA,532057600.0,True
UGA,2029,6432454.0,532057600.0,0.0,ZMB | COG | RWA | TZA | AGO | UGA,532057600.0,True
UGA,2028,6432454.0,532057600.0,0.0,ZMB | COG | RWA | TZA | AGO | UGA,532057600.0,True
UGA,2027,6432454.0,532057600.0,0.0,ZMB | COG | RWA | TZA | AGO | UGA,532057600.0,True
TZA,2028,6432454.0,532057600.0,0.0,YEM | KEN | DJI | SOM | ETH | TZA,532057600.0,True
NGA,2028,6432454.0,532057600.0,0.0, | NGA |  | ,532057600.0,True
TZA,2026,6432454.0,532057600.0,0.0,YEM | KEN | DJI | SOM | ETH | TZA,532057600.0,True
ETH,2030,6432454.0,532057600.0,0.0,YEM | DJI | SOM | ETH,532057600.0,True
ETH,2029,6432454.0,532057600.0,0.0,YEM | DJI | SOM | ETH,532057600.0,True
ETH,2028,6432454.0,532057600.0,0.0,YEM | DJI | SOM | ETH,532057600.0,True
ETH,2027,6432454.0,532057600.0,0.0,YEM | DJI | SOM | ETH,532057600.0,True
ETH,2026,6432454.0,532057600.0,0.0,YEM | DJI | SOM | ETH,532057600.0,True
VUT,2030,6432454.0,532057600.0,0.0,VUT,532057600.0,True
VUT,2029,6432454.0,532057600.0,0.0,VUT,532057600.0,True
LBN,2029,6432454.0,532057600.0,0.0,AFG | ZWE | VEN | UKR | BEN | BDI | LSO | LBR | LBY | MLI | MOZ | MMR | NER | NGA | EGY | ETH | PSE | PAK | PHL | RWA | SLE | SOM | SSD | SDN | SYR | TZA | TGO | TUR | UGA | YEM | ZMB |  | BGD | AGO | BFA | CMR | CAF | TCD | DJI | PRK | COD | COL | ECU | HTI | IRN | IRQ | JOR | KEN | LBN,532057600.0,True
